"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX13958782","The whole genome bisulfite sequencing of the Pacific oyster somatic tissues","Magallana angulata","HiSeq X Ten","Ocean University of China","SRP357124","The whole genome bisulfite sequencing of the Pacific oyster somatic tissues","SRS11799154","","8865.53","1","93272155","27981646500","p8f","Bisulfite-Seq","GENOMIC","DNase"
"SRX13958781","The whole genome bisulfite sequencing of the Pacific oyster somatic tissues","Magallana angulata","HiSeq X Ten","Ocean University of China","SRP357124","The whole genome bisulfite sequencing of the Pacific oyster somatic tissues","SRS11799153","","10528.09","1","111422968","33426890400","p8m","Bisulfite-Seq","GENOMIC","DNase"
"SRX9934561","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","6286.48","1","66591146","19977343800","F0_LTX_3","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9934560","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","7378.52","1","77628843","23288652900","F0_LTX_2","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9934559","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","6138.18","1","65048760","19514628000","F0_LTX_1","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9934558","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","6935.44","1","73268515","21980554500","F0_LTJ_3","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9934557","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","6747.57","1","70381119","21114335700","F0_LTJ_2","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9934556","BS-seq of Crassostrea gigasgill","Magallana gigas","HiSeq X Ten","Chinese Academy of Sciences","SRP303217","Epigenomics of wild Pacific oysters","SRS8109933","Pacific oyster","5932.25","1","62210995","18663298500","F0_LTJ_1","Bisulfite-Seq","GENOMIC","size fractionation"
"SRX9894727","SS35-R2","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8265.39","1","62881856","18864556800","3502_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894726","SS35-R1","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","7794.31","1","59575535","17872660500","3501_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894725","SS05-R3","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8054.41","1","60779896","18233968800","0503_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894724","RR59-R3","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","6913.5","1","54173403","16252020900","5903_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894723","RR59-R2","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8497.65","1","64657824","19397347200","5902_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894722","SS05-R2","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8265.44","1","62707839","18812351700","0502_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894721","RR59-R1","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","9616.95","1","72859227","21857768100","5901_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894720","RR52-R3","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8419.1","1","63065336","18919600800","5203_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894719","RR52-R2","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","7233.22","1","54986647","16495994100","5202_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894718","RR52-R1","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","7849.16","1","60125207","18037562100","5201_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894717","SS35-R3","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","8086.08","1","59836967","17951090100","3503_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9894716","SS05-R1","Magallana gigas","Illumina HiSeq 2000","Centro de Investigaciones Biologicas del Noroeste","SRP302320","Crassostrea gigas Raw sequence reads","SRS8073937","Pacific oyster","9070.72","1","69631899","20889569700","0501_R1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640315","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839949","Pacific oyster","4348.68","1","49611452","12503304066","3N_LOW_06","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640314","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839948","Pacific oyster","4507.73","1","51977624","13075606922","3N_HI_11","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640313","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839947","Pacific oyster","5046.74","1","58612409","14736153342","3N_HI_10","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640312","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839946","Pacific oyster","4610.41","1","51910846","12940812914","3N_HI_08","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640311","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839945","Pacific oyster","5179.89","1","59408352","15033695703","3N_HI_05","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640310","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839944","Pacific oyster","3367.72","1","37045803","9356858961","3N_HI_03","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640309","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839943","Pacific oyster","4738.88","1","54135312","13753130617","3N_HI_02","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640308","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839942","Pacific oyster","4179.14","1","49101606","12158018996","2N_LOW_03","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640307","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839941","Pacific oyster","3823.51","1","43149301","10887823307","2N_LOW_02","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640306","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839940","Pacific oyster","7300.68","1","82933633","21035312346","2N_LOW_01","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640305","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839939","Pacific oyster","4758.9","1","54279403","13730738899","2N_HI_12","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640304","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839937","Pacific oyster","4169.46","1","47871006","12087819625","2N_LOW_06","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640303","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839938","Pacific oyster","4110.43","1","44881631","11382922440","2N_HI_11","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640302","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839936","Pacific oyster","4522.79","1","50228886","12708355627","2N_HI_10","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640301","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839935","Pacific oyster","3476.66","1","39620531","10032578352","2N_HI_09","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640300","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839934","Pacific oyster","4914.45","1","55879313","14254874194","2N_HI_08","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640299","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839933","Pacific oyster","4665.64","1","53154280","13444842183","3N_LOW_12","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640298","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839932","Pacific oyster","3529.71","1","40743756","10242983490","3N_LOW_11","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640297","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839931","Pacific oyster","4158.62","1","47948800","12109487855","3N_LOW_10","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640296","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839930","Pacific oyster","4606.14","1","51337098","13007627849","3N_LOW_08","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640295","Whole genome bisulfite sequencing of triploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839929","Pacific oyster","5148.54","1","54311933","13793439476","3N_LOW_07","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640294","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 8.2: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839928","Pacific oyster","4611.42","1","52225074","13106275581","2N_HI_05","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640293","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839927","Pacific oyster","4956.87","1","57092207","14387171521","2N_LOW_05","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9640292","Whole genome bisulfite sequencing of diploid Crassostrea gigas at pH 7.7: adult ctenidia","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP296747","Whole genome bisulfite sequencing (WGBS) of diploid and triploid Crassostrea gigas ctenidia exposed to different pH levels.","SRS7839926","Pacific oyster","4592.56","1","52847841","13324835363","2N_LOW_04","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508707","Whole genome bisulfite sequencing of adult triploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C, followed by 1hr heat stress at 45C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717239","Pacific oyster","6781.77","1","79094628","19957525524","zr3534_10","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508706","Whole genome bisulfite sequencing of adult triploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C, followed by 1hr heat stress at 45C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717238","Pacific oyster","6462.13","1","75217875","18971333399","zr3534_9","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508705","Whole genome bisulfite sequencing of adult triploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717237","Pacific oyster","8331.58","1","92209405","23166328084","zr3534_8","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508704","Whole genome bisulfite sequencing of adult triploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717236","Pacific oyster","5849.33","1","67258007","16997389690","zr3534_7","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508703","Whole genome bisulfite sequencing of adult triploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717235","Pacific oyster","6630.72","1","76803843","19452263110","zr3534_6","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508702","Whole genome bisulfite sequencing of adult diploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C, followed by 1hr heat stress at 45C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717234","Pacific oyster","7366.47","1","85730862","21618377966","zr3534_5","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508701","Whole genome bisulfite sequencing of adult diploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C, followed by 1hr heat stress at 45C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717233","Pacific oyster","6679.18","1","76075752","19196767236","zr3534_4","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508700","Whole genome bisulfite sequencing of adult diploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717232","Pacific oyster","6887.93","1","79350310","20199558667","zr3534_3","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508699","Whole genome bisulfite sequencing of adult diploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717231","Pacific oyster","6618.09","1","76804380","19407317160","zr3534_2","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX9508698","Whole genome bisulfite sequencing of adult diploid Crasstrea gigas ctenidia subjected to 24hrs of dessication at 27C.","Magallana gigas","Illumina NovaSeq 6000","University of Washington","SRP292561","Whole genome bisulfite sequencing of diploid and triploid Crassostrea gigas exposed to dessication and acute heat stress.","SRS7717230","Pacific oyster","6723.7","1","78029780","19680742915","zr3534_1","Bisulfite-Seq","GENOMIC","RANDOM"
"SRX8506185","ChIP-Seq Input of Crassostrea gigas: adductor muscle r1","Magallana gigas","HiSeq X Ten","Institute Ruder Boskovic","SRP266544","Centromeric and heterochromatic DNA sequences of Crassostrea gigas","SRS6804836","Pacific oyster","293.72","1","2518230","760505460","ChIP-Seq Input r1","MNase-Seq","GENOMIC","MNase"
"SRX8506181","ChIP-Seq Input of Crassostrea gigas: adductor muscle r2","Magallana gigas","HiSeq X Ten","Institute Ruder Boskovic","SRP266544","Centromeric and heterochromatic DNA sequences of Crassostrea gigas","SRS6804832","Pacific oyster","617.18","1","5570783","1682376466","ChIP Input r2","MNase-Seq","GENOMIC","MNase"
"SRX7856346","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Exposed Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265403","Pacific oyster","13737.82","1","115959516","35019773832","HI.4852.006.NEBNext_Index_9.F32_EMP_F2_H0_NSI3","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856345","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Exposed Replicate 2","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265402","Pacific oyster","14089.69","1","118605765","35818941030","HI.4852.005.NEBNext_Index_8.F32_EMP_F2_H0_NSI2","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856344","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Exposed Replicate 1","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265401","Pacific oyster","15702.61","1","129565845","39128885190","HI.4852.005.NEBNext_Index_7.F32_EMP_F2_H0_NSI1","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856343","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Control Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265400","Pacific oyster","16085.37","1","135986541","41067935382","HI.4852.006.NEBNext_Index_12.F32_EMP_F2_H0_C3","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856342","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Control Replicate 2","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265398","Pacific oyster","15882.15","1","132404601","39986189502","HI.4852.006.NEBNext_Index_11.F32_EMP_F2_H0_C2","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856341","BISULFITE-SEQ data from Crassostrea gigas F32 F2 H0 Control Replicate 1","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265397","Pacific oyster","12158.1","1","102401276","30925185352","HI.4852.006.NEBNext_Index_10.F32_EMP_F2_H0_C1","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856338","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Exposed Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265464","Pacific oyster","13578.38","1","113035684","34136776568","HI.4852.004.NEBNext_Index_3.F11_EMP_F2_H0_NSI3","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856337","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Exposed Replicate 2","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265463","Pacific oyster","16520.19","1","138493145","41824929790","HI.4852.004.NEBNext_Index_2.F11_EMP_F2_H0_NSI2","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856336","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Exposed Replicate 1","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265462","Pacific oyster","13505.29","1","113433808","34257010016","HI.4852.004.NEBNext_Index_1.F11_EMP_F2_H0_NSI1","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856335","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Control Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265461","Pacific oyster","13439.45","1","111016728","33527051856","HI.4852.005.NEBNext_Index_6.F11_EMP_F2_H0_C3","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856334","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Control Replicate 2","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265460","Pacific oyster","13940.53","1","116040677","35044284454","HI.4852.005.NEBNext_Index_5.F11_EMP_F2_H0_C2","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856333","BISULFITE-SEQ data from Crassostrea gigas F11 F2 H0 Control Replicate 1","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265459","Pacific oyster","14717.57","1","123681466","37351802732","HI.4852.004.NEBNext_Index_4.F11_EMP_F2_H0_C1","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856332","BISULFITE-SEQ data from Crassostrea gigas F32 F2 D10 Exposed Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265443","Pacific oyster","13693.81","1","115763737","34960648574","HI.4852.008.NEBNext_Index_12.F32_J10_F2_NSI3","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856331","BISULFITE-SEQ data from Crassostrea gigas F32 F2 D10 Exposed Replicate 2","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265442","Pacific oyster","13590.38","1","122926232","37123722064","HI.4867.007.NEBNext_Index_11.F32_J10_F2_NSI2","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856330","BISULFITE-SEQ data from Crassostrea gigas F32 F2 D10 Exposed Replicate 1","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265441","Pacific oyster","12810.68","1","117801444","35576036088","HI.4867.007.NEBNext_Index_10.F32_J10_F2_NSI1","Bisulfite-Seq","OTHER","size fractionation"
"SRX7856329","BISULFITE-SEQ data from Crassostrea gigas F32 F2 D10 Control Replicate 3","Magallana gigas","HiSeq X Ten","University of Perpignan Via Domitia","SRP251710","Transgenerational adaptative phenotypic plasticity in infection resistance of Crassostrea gigas upon early microbial exposure","SRS6265440","Pacific oyster","14573.16","1","123037919","37157451538","HI.4852.008.NEBNext_Index_15.F32_J10_F2_C3","Bisulfite-Seq","OTHER","size fractionation"
